"fen","material_cmp","castle_white_kingside","castle_white_queenside","castle_black_kingside","castle_black_queenside"
"8/1p6/p1k3Rb/7P/8/1KP5/PP6/8 b - - 8 44","1","0","0","0","0"
"r4rk1/6p1/p3R2p/1p6/2n5/5N2/PP1K1PPP/4R3 w - - 0 21","1","0","0","0","0"
"3q2k1/5p2/p6p/1p4p1/8/1P2b1P1/P3QPP1/6K1 w - - 0 28","-1","0","0","0","0"
"r1n2rk1/1pqbb1pp/p1p2n2/P1Pp1p1N/1P1Pp3/4P1P1/1B1N1PBP/R2Q1RK1 b - - 4 18","0","0","0","0","0"
"rn1qkbnr/pbpppp1p/1p4p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 1 4","0","1","1","1","1"
"rnbqkbnr/pppp2pp/5p2/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4","-1","1","1","1","1"
"7r/ppkr1pp1/7p/2PpN3/4p3/1Q2P1P1/PP3nP1/2KB3R b - - 0 23","1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"4Q3/1R3ppk/6bp/1P6/2q1P3/5P1P/6P1/5R1K w - - 3 36","1","0","0","0","0"
"r1bqkb1r/ppp2ppp/3p1n2/3Pp3/1n2P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 1 6","0","1","1","1","1"
"rnbqkb1r/ppp1pp1p/5np1/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq - 0 4","0","1","1","1","1"
"6r1/pp1n3p/2p1kpr1/3pp3/8/3P3P/PPPBKP1P/R5R1 w - - 7 20","0","0","0","0","0"
"rnbqkbnr/pp1ppppp/2p5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"r3r1k1/pppq1p1p/2npNnpb/4p3/2N5/1P1P2P1/PBP1PPBP/1R1Q1RK1 b - - 0 12","1","0","0","0","0"
"r1b2rk1/ppp1qpp1/2np3p/4p3/2B1Pn2/2NP1N1P/PPPQ1PP1/2KR3R w - - 2 12","0","0","0","0","0"
"rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"6k1/r4pp1/7p/N2B4/1P5q/P7/1Q2KpP1/2Rn4 w - - 0 31","1","0","0","0","0"
"rn1qkb1r/ppp1pppp/5n2/3P4/2P5/8/PP1PbPPP/RNBQK1NR w KQkq - 0 5","-1","1","1","1","1"
"2r2r1k/ppp1np2/5Np1/5nNp/1P6/2P1P1P1/P3KPP1/R6R b - - 2 18","1","0","0","0","0"
"2kr2nr/1pp2ppp/p1p5/7q/1b2N3/3PBP2/PPP1QP1P/R4K1R b - - 8 13","0","0","0","0","0"
"rnbqkbnr/ppp2ppp/3p4/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3","0","1","1","1","1"
"r2k1b1r/pp2pBp1/2p4p/4P3/8/1P2Pb2/P4P1P/R1B1K1R1 w Q - 0 14","0","0","1","0","0"
"r4r1k/ppq1bppn/2p4p/4p3/1P2P3/1BPPBP1P/P7/R2QK1R1 b Q - 5 18","0","0","1","0","0"
"r1bqk2r/ppp2pp1/2np1n1p/2b1p3/2B1P3/2NPBN2/PPP2PPP/R2QK2R w KQkq - 0 7","0","1","1","1","1"
"rnb1kb1r/ppq2p1p/3p2p1/2pP4/2P5/5N2/P1QBPPPP/R3KB1R w KQkq - 1 11","0","1","1","1","1"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"rnbqk2r/pp1pnpb1/4p1p1/2p3p1/2B1P3/2NP1N2/PPP2PPP/R2Q1RK1 w kq - 0 8","-1","0","0","1","1"
"r3kb1r/pppn1ppp/3qbn2/1B6/3P4/1P6/P2B1PPP/RNQ1K1NR b KQkq - 0 10","0","1","1","1","1"
"r1b2rk1/2q1ppbp/pp1p1np1/P1pPn3/2P1P3/6PP/1PQN1PB1/R1B1NRK1 b - - 0 15","0","0","0","0","0"
"r1bqkbnr/p3pp1p/2pp2p1/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 6","0","0","0","1","1"
"r1bqk1nr/pp1nb2p/5p2/2p1pP2/3p1N2/6P1/PPPP1PBP/R1BQ1RK1 b kq - 2 11","-1","0","0","1","1"
"r1bq1rk1/1pp2ppp/p1nb1n2/4p3/2B5/PPN1PN2/1BQP1PPP/R3K2R b KQ - 0 9","0","1","1","0","0"
"7R/1p4k1/pp1p1p2/4p3/1P2P1P1/2PPB3/1P2KP2/8 b - - 0 30","1","0","0","0","0"
"2r2k2/p4ppp/2pR4/8/2P5/5P1P/PP3P2/6K1 w - - 1 21","1","0","0","0","0"
"r2qr1k1/pp1n3p/2p1pbP1/3p1p2/2PP4/2NBP1Q1/PP3PP1/2KR3R b - - 0 17","1","0","0","0","0"
"rn1qkbnr/pb1p1ppp/1pp1p3/1B6/3PP3/2N2N2/PPP2PPP/R1BQK2R b KQkq - 1 5","0","1","1","1","1"
"rn2k2r/p4ppp/2p5/8/2b1B3/4P3/P3KPPP/q5NR w kq - 0 15","-1","0","0","1","1"
"2k5/1pp5/pr2p3/5p1r/3P3N/4PKP1/4RP2/8 b - - 1 36","-1","0","0","0","0"
"r2q1rk1/pb2npbp/1pn3p1/2p5/3PN3/1P4P1/PB1PNPBP/2RQ1RK1 b - - 0 13","1","0","0","0","0"
"r3kbnr/pbpp1ppp/1p2pq2/4N3/7P/5PPB/PPPPP3/RNBQK2R w KQkq - 1 7","1","1","1","1","1"
"r1bqkbnr/ppp2ppp/2n5/3pp3/8/2NPPN2/PPP2PPP/R1BQKB1R b KQkq - 3 4","0","1","1","1","1"
"r3k1nr/1bp3pp/p3pp2/2qpP3/1p6/5N2/PPP1QPPP/2KR1B1R w kq - 0 14","-1","0","0","1","1"
"3rr1k1/ppp2pb1/2n2npp/3q1bN1/3P4/P3BN2/1P2BPP1/R2Q1K1R w - - 0 16","-1","0","0","0","0"
"rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2","0","1","1","1","1"
"rnbqk2r/ppp2ppp/3p4/2b1p3/2BPP1n1/2N2N2/PPP2PPP/R1BQ1RK1 b kq - 0 6","0","0","0","1","1"
"rn1qkbnr/pp2pppp/2p5/3p4/3P1Bb1/5N2/PPP1PPPP/RN1QKB1R w KQkq - 2 4","0","1","1","1","1"
"r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2N2N2/PPPPBPPP/R1BQK2R b KQkq - 5 4","0","1","1","1","1"
"6k1/4R1pp/2q5/p1pn4/PpNp1P2/1P1P2P1/2Q5/6K1 b - - 0 37","1","0","0","0","0"
"r1bq1rk1/pp3ppp/2n2n2/3pN3/5B2/3BP3/PPP2PPP/R2QK2R b KQ - 2 10","1","1","1","0","0"
"r2q1rk1/1b1p1pp1/p4n1p/1p2p3/4P2N/PPN4P/1P1Q1PP1/R3K2R b KQ - 0 17","0","1","1","0","0"
"r1bqk1nr/1p3pbp/p1n1p1p1/2p1P3/3pNP2/1P3Q2/PBPP2PP/R3KBNR w KQkq - 2 9","0","1","1","1","1"
"r3k1nr/pp1b1ppp/1q2p3/3pP3/8/1Pb1B3/P1P2PPP/R2QK2R w KQkq - 0 12","-1","1","1","1","1"
"2q5/p7/1ppk1pp1/3p3p/5P1P/P1P3P1/KP6/4r3 w - - 0 32","-1","0","0","0","0"
"rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3","0","1","1","1","1"
"1kr4r/1p3ppp/p3pn2/2Nq4/1PBp4/PK3P2/2PQ1P1P/3R3R b - - 5 21","1","0","0","0","0"
"rnbqkb1r/pp2pppp/2p2n2/3p4/2P2P2/4PN2/PP1P2PP/RNBQKB1R b KQkq - 0 4","0","1","1","1","1"
"3qkb1r/1Qp2ppp/3pb3/4p3/4P3/8/PP1P1PPP/n1BK2NR b k - 0 12","-1","0","0","1","0"
"r2qk2r/p1pb1ppp/2pp4/2b1p3/B7/5N2/PPPP1PPP/R1BQ1RK1 b kq - 1 9","1","0","0","1","1"
"4rrk1/p1R2pp1/2p5/p4PPp/3pNP1P/8/PPP5/2K1R3 b - - 3 26","1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"r1bqk2r/5ppp/2p1pn2/nP2N3/1B1P4/3BP3/2Q2PPP/R3K2R b KQkq - 0 17","1","1","1","1","1"
"r1bqkb1r/ppp1pppp/2n2n2/3p4/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4","0","1","1","1","1"
"rn1q1rk1/pbp1bppp/1p2pn2/3P4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b - - 0 8","1","0","0","0","0"
"8/8/3Pk3/p3P3/1p2K3/2r5/8/4B3 w - - 1 49","-1","0","0","0","0"
"2kr1br1/ppp1pp1p/2n5/6pq/2B3P1/1P3N2/PBPP1P2/R2QR1K1 b - - 0 14","1","0","0","0","0"
"r2qk2r/pp1n1ppp/2p1p3/2Pp4/1P1PP2b/P1N4P/2QKP3/R1B2B1n w kq - 0 15","-1","0","0","1","1"
"5k2/5pp1/p3p1p1/1pPpq3/PPn5/4P2P/2B2PP1/2Q3K1 b - - 0 27","0","0","0","0","0"
"1r2kb2/3q1p1p/7r/3Pp3/4P1b1/3B2Q1/PP3PPP/R1B2RK1 b - - 2 21","1","0","0","0","0"
"r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3","0","1","1","1","1"
"r1bqkbnr/pp2pppp/2np4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4","0","1","1","1","1"
"3Q2kr/5ppp/8/8/4p3/B7/P3PP1P/b4R1K b - - 0 26","1","0","0","0","0"
"1r3rk1/p4pp1/2p2b1p/3p4/6b1/P1P2N2/P2N1PPP/R3R1K1 b - - 0 17","0","0","0","0","0"
"r4rk1/ppq1ppbp/5np1/3P4/2n5/2N1BB2/PP3PPP/2RQ1RK1 b - - 1 13","0","0","0","0","0"
"8/p6p/1p3k2/8/7p/1P4P1/P4P1P/3R2K1 w - - 0 33","1","0","0","0","0"
"rn1qk2r/p2ppp1p/b1p2n1b/1p4B1/3PP3/2NB1N2/PPP2PPP/R2Q1RK1 w kq - 2 8","1","0","0","1","1"
"rn1qkbnr/pbpppppp/1p6/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 2 3","0","1","1","1","1"
"5r1k/p3pNbp/1p4p1/2pB1p2/R7/6KP/6P1/7R b - - 0 31","1","0","0","0","0"
"r1bqkbnr/pp2pppp/2n5/2pp4/8/1P4P1/PBPPPPBP/RN1QK1NR b KQkq - 1 4","0","1","1","1","1"
"1qkr3r/1b1pbpp1/ppn1p2n/7p/P1PP4/1PN2N1P/1B2BPP1/R2Q1RK1 b - - 1 14","0","0","0","0","0"
"6k1/p6p/6pb/1NB1p3/2P1P3/1P3P2/P2r1K1P/1b6 w - - 1 37","-1","0","0","0","0"
"6k1/p4pb1/1p3p1p/1B1R4/3P4/1PP3KP/2r3P1/8 w - - 1 35","0","0","0","0","0"
"8/1p3kpp/p4p2/4q3/7P/6P1/P4Q1K/8 b - - 10 45","-1","0","0","0","0"
"r2qk2r/pp1bppb1/3p1np1/2n4p/4PP2/1NNBB2P/PPPQ2P1/R4RK1 b kq - 2 12","0","0","0","1","1"
"r3k1nr/pppq1ppp/4p3/3p4/1n1P4/N3P3/PP1K1PPP/R1B3NR w kq - 0 10","-1","0","0","1","1"
"rnbqkbnr/ppp1pppp/8/8/3pP3/2P2P2/PP1P2PP/RNBQKBNR b KQkq - 0 3","0","1","1","1","1"
"r1b2rk1/1pp2pp1/p1p4p/2q5/4PP2/2N5/PPP3PP/R2Q1R1K b - - 2 14","0","0","0","0","0"
"rnbqkbnr/ppppp1pp/5p2/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2","0","1","1","1","1"
"2rn1rk1/1b1qbnpp/p2pp3/1p3pP1/1P1P1P2/PN1QPN1P/3B4/1BR2RK1 w - - 1 21","0","0","0","0","0"
"rnb1k2r/pppp2pp/8/5q2/8/1KP1b3/PP2P1PP/RN1Q1BNR b kq - 5 9","0","0","0","1","1"
"r1bq1rk1/ppp2pp1/1bnp1n1p/4p3/2B1P3/2NPBN1P/PPP1QPP1/R3K2R w KQ - 4 9","0","1","1","0","0"
"r2qkbnr/1pp1pp1p/p1n1b1p1/3pP3/PP1P4/2P5/5PPP/RNBQKBNR b KQkq - 0 6","0","1","1","1","1"
"2rq1rk1/6p1/1p1p3p/p2Pp3/P1PpBp1b/1P1P3P/5PPK/R2Q1R2 w - - 1 22","0","0","0","0","0"
"rnbqk2r/pp3ppp/5n2/3p2B1/1b1pP3/2NB1P2/PPP3PP/R2QK2R w KQkq - 0 9","-1","1","1","1","1"
"2k1rb2/Bpp2N2/2bp2p1/3Npn1r/2B2p2/3P4/P1P2PPP/R4RK1 w - - 4 19","1","0","0","0","0"
"1r2r1k1/p2b1ppp/2pqpn2/3p4/8/P1PBPP2/1B2Q1PP/1R3RK1 w - - 3 18","-1","0","0","0","0"
"8/p4b1p/5kp1/4Np2/2NP1P2/2P3P1/2K4P/b7 w - - 7 51","1","0","0","0","0"
"r6k/5Q1p/5p2/p7/4R3/6P1/P4P1P/6K1 b - - 0 26","1","0","0","0","0"
"R7/1p6/1b2k3/p1p1Bb2/P2p4/7P/1PP3PK/4R3 b - - 2 34","1","0","0","0","0"
"rnbqkbnr/pp2pppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4","0","1","1","1","1"
"r2qk2r/3b1ppp/p1pp1n2/1pb1p1B1/3PP3/1PN2N1P/1PP2PP1/R2Q1RK1 b kq - 0 12","0","0","0","1","1"
"r2q1rk1/ppp3pp/2n1bp2/b2n4/2BP4/B4N2/P1Q2PPP/RN3RK1 b - - 3 13","-1","0","0","0","0"
"4kb1r/ppN1n1pp/3Q1n2/4p3/8/8/PPPP1PPP/R1B1K1NR b KQ - 6 15","1","1","1","0","0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"3r1rk1/pp3ppp/2npq3/2pNb3/4P3/2P2N2/PP3PPP/R2QR1K1 b - - 9 18","0","0","0","0","0"
"r3k2r/pp1nppbp/2p1bnp1/q2p2B1/P2P3P/3BP3/3N1PPN/2R1QRK1 w kq - 10 14","-1","0","0","1","1"
"r1bq1r2/1p1nnpbk/p1p1p1pp/3PP3/3P4/2N1BN2/PP1QBPPP/2RR2K1 b - - 0 13","1","0","0","0","0"
"8/1k2b3/1p1p4/5P1r/8/4BP2/1P4P1/5RK1 b - - 0 28","1","0","0","0","0"
"6k1/p1p3pp/3b4/N1p3N1/4b3/2P1P3/PP3rPP/2K4R w - - 0 22","1","0","0","0","0"
"rnbqk1nr/pppp1ppp/8/2b1p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3","0","1","1","1","1"
"r2qkb1r/pp1bpp1p/2n2npP/3p4/3P1B2/2P2N2/PP3PP1/RN1QKB1R w KQkq - 1 10","0","1","1","1","1"
"r2qkr2/pp2b1pp/2npp3/4p3/4P3/B1P2Q2/P4PPP/3RK1NR w Kq - 4 13","-1","1","0","0","1"
"rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3","1","1","1","1","1"
"r2qr1k1/p1p2pp1/2pb1n1p/8/2PP4/2N2Q2/PP3PPP/R1B2RK1 b - - 1 14","1","0","0","0","0"
"r4q2/p3k3/5r2/1pb1p1p1/2p1B2R/2Pp1P2/PP1Q2PP/5R1K w - - 0 26","0","0","0","0","0"
"3r2k1/p4ppp/Pp2p3/1P6/5P2/2rp1P2/7P/4K3 b - - 1 30","-1","0","0","0","0"
"1r3k2/prp4p/4b1p1/3p1p2/P2P1P2/4P3/2R2PKP/R7 w - - 6 29","-1","0","0","0","0"
"r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 2 5","-1","0","0","1","1"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"4k3/1R6/3P3p/2B1b1p1/4P3/8/P5PP/6K1 b - - 0 34","1","0","0","0","0"
"8/6pp/p4p2/8/1k6/8/P2RRPPP/5K2 w - - 9 38","1","0","0","0","0"
"r1bqk1nr/pppnbppp/3pp3/8/4PB2/3P1N2/PPP1BPPP/RN1QK2R b KQkq - 3 5","0","1","1","1","1"
"rnbqk2r/ppp3pp/3p1n2/4p3/8/2P1B1PP/P1P1NPB1/R2QK2R b KQkq - 3 10","-1","1","1","1","1"
"rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 3","0","1","1","1","1"
"rn1qkbnr/pbpp1ppp/1p2p3/8/8/4PB2/PPPP1PPP/RNBQK1NR w KQkq - 0 4","0","1","1","1","1"
"rnbqk2r/ppp2ppp/5n2/2bp4/3pP3/2P2P2/PP4PP/RNBQKBNR w KQkq - 0 6","-1","1","1","1","1"
"2r2k1r/3Q2p1/p3pp2/1p6/4pqPP/N1P5/PP6/1K1R3R w - - 2 24","1","0","0","0","0"
"r1b2r2/pp1n1pk1/3p3p/q1p1p1p1/P1P1P2P/1QPP1NP1/4B1P1/R4RK1 b - - 0 15","0","0","0","0","0"
"1rbq1rk1/2Nn1ppp/p3p3/1p1p4/8/3BP1B1/PPP2PPP/R2QK2R w KQ - 0 13","1","1","1","0","0"
"r2q1rk1/1b1nbppp/p1pp1n2/1p2P3/3P1B2/P1NB1N2/1PP1Q1PP/3R1RK1 b - - 0 12","0","0","0","0","0"
"8/1pk2Np1/2p1p1p1/r3P3/7P/2P3K1/6P1/8 b - - 0 31","-1","0","0","0","0"
"r4rk1/pp3ppp/1qnbpn2/3p3b/1P1P4/P1PBBN1P/3N1PP1/R2QK2R w KQ - 1 12","0","1","1","0","0"
"3R4/P4pkp/5p2/8/3p4/5P2/r4P1P/6K1 b - - 1 31","0","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"rn1qkbnr/ppp3pp/4bp2/3pp3/3P4/1P2PN2/PBP2PPP/RN1QKB1R b KQkq - 0 5","0","1","1","1","1"
"r4rk1/bpp2p1p/p5p1/3BP2q/3P2b1/2P1B1Q1/PP6/R4RK1 b - - 0 25","-1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3","0","1","1","1","1"
"r6r/ppp1bkpp/3pnn2/4p3/4P3/2P1BP2/PP4PP/RN1K3R w - - 1 12","-1","0","0","0","0"
"r2k4/1R5n/8/2p1p3/p3P3/2P1bP2/N7/K7 w - - 0 45","-1","0","0","0","0"
"r5k1/ppp1r1p1/4bp1p/4N3/4P3/2P4P/PP3RP1/4RQK1 w - - 0 22","1","0","0","0","0"
"3RK3/2k1P2r/8/1p6/8/8/8/8 w - - 12 71","0","0","0","0","0"
"5r2/5p2/5k1p/8/1pB2b2/P4P2/5PK1/3R4 w - - 0 40","0","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","0","1","1","1","1"
"r4rk1/pB1qbpp1/1p5p/2p1pP1P/3n2P1/P2PB2N/1PP5/R2QK1R1 b Q - 0 18","1","0","1","0","0"
"r2qk2r/pppn1ppp/8/3pNb2/1bPP1B2/4P3/PP3PPP/RN2KB1R w KQkq - 0 9","-1","1","1","1","1"
"r4rk1/pbpqbpp1/1pn1P2p/4P3/3P1N2/P1PB4/2Q3PP/R1B2RK1 b - - 0 16","1","0","0","0","0"
"6r1/p3kp2/1p3p2/5P2/8/4PbP1/PP5P/2R1R1K1 w - - 0 29","1","0","0","0","0"
"rn2kb1r/ppp2p2/3qP1pp/8/8/2PP1K2/P3QPPP/5B1R b kq - 0 16","-1","0","0","1","1"
"rn3rk1/1pqbbppp/p2p1n2/3p2B1/2B1P3/5N2/PP2QPPP/2RR2K1 w - - 0 13","-1","0","0","0","0"
"r1b2rk1/p1q2ppp/2nbpn2/1p1p4/2pP1P2/2P1PN2/PPBNQ1PP/R1B2RK1 b - - 1 11","0","0","0","0","0"
"5r2/p1pk3p/1p1p2n1/6K1/3N4/r2P4/6PP/4R3 b - - 7 29","-1","0","0","0","0"
"r1b1k2r/pp2b2p/3n2p1/3n4/3P1PP1/1P5P/P3Q3/R2K3R b kq - 2 24","-1","0","0","1","1"
"3r1b1r/5p2/k2p1n2/1N1Pp3/2B1P2p/2P2P2/7R/1K6 w - - 0 32","-1","0","0","0","0"
"7k/7p/8/4p3/3p2P1/3P2KP/p7/N4r2 w - - 2 52","-1","0","0","0","0"
"rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2","0","1","1","1","1"
"2r3k1/R1b1qpp1/1r2p3/1p1nP1N1/2pP2Q1/2P4P/5PP1/R5K1 w - - 1 32","-1","0","0","0","0"
"rn1qkbnr/pp2p1pp/2p2p2/3pP3/3P4/5Q2/PPP2PPP/RNB1KB1R b KQkq - 0 6","0","1","1","1","1"
"r3kb1r/1p3Qpp/p1n5/2P1P1N1/8/2P1B3/q4PPP/1N3bK1 b kq - 0 16","-1","0","0","1","1"
"2r2r1k/bp2q1p1/p2pp2p/1P2p3/4Pn2/P1NP1N1P/5PP1/1R1Q1RK1 w - - 1 22","0","0","0","0","0"
"rn2k2r/p3ppbp/3p2p1/qPpP1b2/2B5/P1N1P3/1P1Q1PPP/R3K1NR w KQkq - 2 11","1","1","1","1","1"
"r2q1rk1/1p1n1pp1/p3p2p/3pPb2/5P2/2P1B2P/PP2B1P1/R2Q1RK1 b - - 0 16","0","0","0","0","0"
"rn1q1rk1/2p3pp/p2bpn2/1p3b2/2B5/2NP1N1P/PPP2PP1/R1BQ1RK1 w - - 0 10","1","0","0","0","0"
"5rk1/p2n1p1p/Pp1q1npP/1B1p4/3Pp3/1Pr1P3/3N1PP1/R2QK2R b K - 1 19","0","1","0","0","0"
"r6r/1pkq4/p1pb3Q/5P2/8/7P/PP4P1/3n3K w - - 1 30","-1","0","0","0","0"
"r1b2rk1/p3q1p1/2n4p/1Np1p3/4p1n1/1PPP4/P2QN1PP/R3KB1R w KQ - 0 16","0","1","1","0","0"
"r1b2rk1/p4p1p/2p1pq2/5p1Q/3p4/3B4/P1P1RPPP/4R1K1 w - - 6 21","-1","0","0","0","0"
"5r1k/p1p4p/b7/3P4/2P2p2/1P2pPQ1/P7/b4KR1 b - - 0 26","1","0","0","0","0"
"r1b5/ppk5/5p2/2nQ4/8/8/PPB3P1/2K5 w - - 1 32","1","0","0","0","0"
"R2r2k1/1b3ppp/4p3/2p1P1q1/1pB1p3/1Q2P2P/5PP1/5RK1 b - - 0 20","1","0","0","0","0"
"r4rk1/pppnbppp/3p4/3Pp3/4P1N1/2P5/PP1N1P2/R1B1R1K1 b - - 0 16","1","0","0","0","0"
"r2q4/2pnk1QR/p7/4p3/1pBP3P/8/PPPN2P1/6K1 b - - 2 33","1","0","0","0","0"
"2k5/ppp3pp/5n2/8/2P5/3rPP2/P4P1P/R4RK1 b - - 0 20","1","0","0","0","0"
"r2qk2r/1pp1bpp1/p1n2n1p/3p1b2/1P1P1B2/P1N1PN1P/5PP1/2RQKB1R w Kkq - 1 12","0","1","0","1","1"
"8/p1p2rk1/7p/4R1p1/3P1p2/2P2P2/P1P1K1PP/8 b - - 4 27","1","0","0","0","0"
"rnbqkbnr/pp2pppp/3p4/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3","0","1","1","1","1"
"r1b4k/pp4pp/4pr2/3pNpq1/3P1n2/1QP1R3/PP3PPP/R4B1K b - - 4 20","0","0","0","0","0"
"r2qkbnr/pp3ppp/2pp4/1B1P4/8/8/PPQ2PPP/RNB1K2R b KQkq - 0 10","1","1","1","1","1"
"r2q3r/p1p2p1k/3p2pP/3Pp3/1p1n4/3b4/PPPQ4/1K2R1NR w - - 0 21","-1","0","0","0","0"
"4bk2/2p1r1pp/3p1n2/2PPp3/4Pp2/3B1P2/5R1P/4B2K w - - 1 39","-1","0","0","0","0"
"rnb3k1/ppp3bp/3p2p1/3N2p1/3P4/5N2/PPP1QPPP/2K4R b - - 0 15","1","0","0","0","0"
"rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1","0","1","1","1","1"
"4nrk1/1p4pp/2p1R3/p7/8/P1P3B1/2Pr2PP/4R1K1 b - - 0 22","0","0","0","0","0"
"r1bqk2r/ppp1ppbp/2np1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq - 2 6","0","1","1","1","1"
"r3r1k1/pp2b1p1/2p1pp1p/3N1b2/3P4/1P2P1B1/1P2BPPP/R4RK1 b - - 0 18","1","0","0","0","0"
"1r1q1rk1/pp1n2bp/6p1/2p1p3/2P1N1P1/1P1PP2P/P2PK1B1/R6R w - - 2 19","-1","0","0","0","0"
"3r1r2/pp1q2k1/2pPb2p/6pB/1R3p2/1P1P4/P1Q2PPB/5RK1 w - - 0 29","1","0","0","0","0"
"rnb1kbnr/ppp1pppp/3q4/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4","-1","1","1","1","1"
"rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2","0","1","1","1","1"
"7b/8/2b1k3/1pB1ppp1/1P6/2P2P1P/4NKP1/8 b - - 0 34","1","0","0","0","0"
"2k5/p1p5/1p6/5pPp/1bPr1B2/1P6/1PK5/8 b - - 3 32","-1","0","0","0","0"
"rnb1k1nr/p1p1ppbp/1p2q1p1/8/8/1PN2N2/P1PPBPPP/R1BQ1RK1 b kq - 0 7","0","0","0","1","1"
"8/1P6/K7/8/1k6/p7/8/8 w - - 0 57","0","0","0","0","0"
"3r1rk1/pb3ppp/7q/8/5bP1/PP1B1P2/1B4KP/2RQ3R w - - 5 25","1","0","0","0","0"
"r2qk1nr/3n1pbp/p1p3p1/1p1p1p2/3P1B2/P1P1PN2/1P1NQPPP/2KR3R b kq - 0 11","0","0","0","1","1"
"rn1qkbnr/pp2pppp/2p5/3p4/3P2b1/3BPN2/PPP2PPP/RNBQK2R b KQkq - 2 4","0","1","1","1","1"
"2r2b1r/3nkppp/4pnb1/B7/3P2P1/2N4P/PPP3B1/2KR2NR b - - 4 16","1","0","0","0","0"
"rnbqkbnr/ppp1pppp/8/8/3Pp3/5P2/PPP3PP/RNBQKBNR b KQkq - 0 3","-1","1","1","1","1"
"rnbqk1nr/ppp2ppp/3b4/3pp3/8/4P1N1/PPPP1PPP/RNBQKB1R w KQkq - 2 4","0","1","1","1","1"
"r1b1k2r/pp2bppp/2n1p3/q2pP3/3P1P1P/2NQ4/PP1KN1P1/1R3B1R w kq - 3 14","0","0","0","1","1"
